☺, blanc
♒, verseau
♓, poissons
⛎, ophiuchus
🏧, distributeur
💹, tableau
💱, échange
‼, point
⭕, cercle
🔝, top
🔚, fin
🔙, arrière
🔜, bientôt
🔃, clockwise
✖, multiplication
♠, pique
♦, carreau
☑, urne
🔘, bouton
➰, curly
〰, tilde
🔱, trident
